,bias2,hidden_size,test_loss,train_loss,train_size,variance
0,0.973048985004425,4.0,0.9832109050035472,0.9879388952255249,392.0,0.010161959566175938
1,0.9734863638877869,5.0,0.9851880419492722,0.9869325053691864,392.0,0.011701703071594238
2,0.970809817314148,6.0,0.9852147677063943,0.9743306267261506,392.0,0.014404933899641037
3,0.9675713181495667,7.0,0.9877723434329033,0.9776463425159454,392.0,0.020201046019792557
4,0.9684563279151917,8.0,0.9887986267805096,0.9772758316993714,392.0,0.020342297852039337
5,0.9652606844902039,9.0,0.9870028787732121,0.9850016009807586,392.0,0.021742183715105057
6,0.9656849503517151,11.0,0.9954889092087745,0.9685332751274109,392.0,0.029803959652781487
7,0.9629390835762024,12.0,0.9947022937417033,0.9682288348674775,392.0,0.03176317736506462
8,0.9559327363967896,14.0,0.9962257478356361,0.9468476128578186,392.0,0.04029303044080734
9,0.9544214010238647,16.0,1.0059538113832474,0.9517250549793244,392.0,0.05153239890933037
10,0.9507517218589783,18.0,1.0045801197648048,0.9324278926849365,392.0,0.053828414529561996
11,0.9479871988296509,21.0,1.0113530148506162,0.9168516898155212,392.0,0.06336581707000732
12,0.9406744241714478,25.0,1.0147127282023434,0.9110276782512665,392.0,0.07403828203678131
13,0.9365062713623047,28.0,1.0226735781311989,0.9063392806053162,392.0,0.08616730570793152
14,0.9297645092010498,32.0,1.0272329287767412,0.8851241624355316,392.0,0.09746839106082916
15,0.9202127456665039,37.0,1.0417003850698472,0.872912540435791,392.0,0.12148763239383698
16,0.9135147333145142,43.0,1.0472871212720871,0.8522268104553222,392.0,0.1337723731994629
17,0.903111457824707,50.0,1.0592899920582772,0.838162727355957,392.0,0.15617862343788147
18,0.8973247408866882,57.0,1.073673525953293,0.8145723259449005,392.0,0.1763487458229065
19,0.8835844397544861,66.0,1.0913087343931203,0.7893251526355743,392.0,0.20772427320480347
20,0.8608210682868958,76.0,1.106920838487148,0.7583071208000183,392.0,0.2460997849702835
21,0.8510713577270508,87.0,1.1397214195728302,0.7291543030738831,392.0,0.2886500656604767
22,0.8321088552474976,100.0,1.172427005434036,0.6808774018287659,392.0,0.3403182029724121
23,0.8025791645050049,116.0,1.2088909853935241,0.6239417934417725,392.0,0.40631186962127686
24,0.7838631868362427,133.0,1.2430852237582206,0.5817909413576126,392.0,0.45922210812568665
25,0.7609636783599854,153.0,1.2962803915739058,0.5351172119379044,392.0,0.5353167057037354
26,0.7289329171180725,176.0,1.371423419356346,0.46851822376251223,392.0,0.6424904465675354
27,0.6995059847831726,203.0,1.432584260392189,0.3960625845193863,392.0,0.7330783009529114
28,0.6786803603172302,234.0,1.530011462783813,0.3384294629096985,392.0,0.8513310551643372
29,0.6502211689949036,269.0,1.5914275676727292,0.2589016178250313,392.0,0.9412063956260681
30,0.6241052150726318,310.0,1.6503517945647237,0.1865867879986763,392.0,1.0262465476989746
31,0.5947040319442749,357.0,1.6341830211877826,0.1306302198767662,392.0,1.0394790172576904
32,0.577035665512085,411.0,1.5467869371175764,0.08650328502058983,392.0,0.969751238822937
33,0.5681402087211609,473.0,1.4324043525457377,0.056288612335920335,392.0,0.864264190196991
34,0.5558880567550659,545.0,1.30052674587965,0.03855779394507408,392.0,0.7446386814117432
35,0.5379981398582458,627.0,1.1811471256732942,0.02762560360133648,392.0,0.6431489586830139
36,0.5387555956840515,722.0,1.0815963567256923,0.02062357682734728,392.0,0.5428407788276672
37,0.5334742069244385,831.0,1.0019914755582813,0.016104770321398974,392.0,0.4685173034667969
38,0.5255758762359619,957.0,0.9238494674921034,0.012534477859735488,392.0,0.3982735872268677
39,0.5291203260421753,1102.0,0.8807957745194431,0.010645102504640817,392.0,0.351675420999527
40,0.5264059901237488,1269.0,0.8342054473221303,0.008938333624973894,392.0,0.30779945850372314
41,0.5275264978408813,1461.0,0.8044417865872382,0.007992634838446975,392.0,0.2769152820110321
42,0.5123218894004822,1682.0,0.7651801916956904,0.007361716302111745,392.0,0.2528582811355591
43,0.5218859314918518,1937.0,0.7507031293570998,0.006691750399768353,392.0,0.22881720960140228
44,0.513018012046814,2230.0,0.7250855328321458,0.0061144685372710224,392.0,0.21206755936145782
45,0.5199233889579773,2568.0,0.7142261474847795,0.005695523330941797,392.0,0.1943027228116989
46,0.5202528238296509,2957.0,0.6992045748949051,0.0053758184798061845,392.0,0.17895174026489258
47,0.5166731476783752,3405.0,0.684043771916628,0.005141875948756933,392.0,0.16737063229084015
48,0.5197720527648926,3920.0,0.6761870594203472,0.0048708682879805565,392.0,0.15641501545906067
49,0.969853937625885,8.0,0.9822327075123787,0.9849371039867401,784.0,0.012378741055727005
50,0.9663273692131042,9.0,0.9799208284378048,0.9831177926063538,784.0,0.013593458570539951
51,0.9636001586914062,10.0,0.9815049313902855,0.9803008592128754,784.0,0.0179047379642725
52,0.9624947309494019,12.0,0.9820578832387922,0.9765099143981933,784.0,0.019563138484954834
53,0.9564734101295471,14.0,0.9837382499456404,0.9668488240242005,784.0,0.027264827862381935
54,0.9559444785118103,16.0,0.9844524918437005,0.9622943270206451,784.0,0.028508013114333153
55,0.9523227214813232,18.0,0.9835242261528966,0.9591331243515014,784.0,0.031201457604765892
56,0.9465011954307556,21.0,0.9828077134847643,0.9543307161331177,784.0,0.036306507885456085
57,0.9416544437408447,24.0,0.9869156062245369,0.9534266996383667,784.0,0.04526114836335182
58,0.936931848526001,28.0,0.9917005400896071,0.9358189916610717,784.0,0.05476866662502289
59,0.9286319613456726,32.0,0.9880962812662125,0.9203749740123749,784.0,0.059464313089847565
60,0.9233101606369019,37.0,0.9895699826478959,0.9233030533790588,784.0,0.06625982373952866
61,0.9161532521247864,43.0,0.9940107519745824,0.9126823580265045,784.0,0.07785747945308685
62,0.9017753005027771,49.0,0.9939719760656357,0.8954530572891235,784.0,0.09219672530889511
63,0.8917229175567627,56.0,0.995869319498539,0.8903721022605896,784.0,0.10414643585681915
64,0.8855596780776978,65.0,1.0030810189008712,0.8651243948936462,784.0,0.11752130091190338
65,0.8602937459945679,75.0,1.0024737844467166,0.8451513910293579,784.0,0.14218011498451233
66,0.8436904549598694,86.0,1.0063898272514342,0.8406754541397095,784.0,0.16269941627979279
67,0.8272697925567627,99.0,1.013322898876667,0.8007086443901063,784.0,0.18605314195156097
68,0.8136243224143982,114.0,1.0228057963609696,0.7799720132350921,784.0,0.20918147265911102
69,0.7907907962799072,131.0,1.0212469940900804,0.7394201266765594,784.0,0.23045626282691956
